grid_id,iso_week,score_255,risk_category,factor_breakdown
LS-00001,2026-W30,57.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 3}"
LS-00002,2026-W30,57.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 3}"
LS-00003,2026-W30,77.0,Modest Hazard,"{'slope_score': 4, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00004,2026-W30,61.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00005,2026-W30,77.0,Modest Hazard,"{'slope_score': 4, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00006,2026-W30,61.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00007,2026-W30,61.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00008,2026-W30,61.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00009,2026-W30,70.0,Modest Hazard,"{'slope_score': 4, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 2}"
LS-00010,2026-W30,54.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 2}"
LS-00011,2026-W30,54.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 2}"
LS-00012,2026-W30,54.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 2}"
LS-00013,2026-W30,54.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 2}"
LS-00014,2026-W30,54.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 2}"
LS-00015,2026-W30,54.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 2}"
LS-00016,2026-W30,77.0,Modest Hazard,"{'slope_score': 4, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00017,2026-W30,77.0,Modest Hazard,"{'slope_score': 4, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00018,2026-W30,54.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 2}"
LS-00019,2026-W30,92.0,Landslides Expected,"{'slope_score': 5, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 4}"
LS-00020,2026-W30,57.0,Modest Hazard,"{'slope_score': 3, 'rainfall_score': 1, 'ndvi_score': 1, 'drainage_score': 1, 'landuse_score': 1, 'soil_score': 4, 'aspect_score': 3}"
