grid_id,iso_week,cumulative_rainfall_mm,ndvi
LS-00001,2026-W30,4.636874675750732,0.8457389405542767
LS-00002,2026-W30,4.636874675750732,0.8389711778214594
LS-00003,2026-W30,4.636874675750732,0.7671452454546033
LS-00004,2026-W30,4.636874675750732,0.8113865871637457
LS-00005,2026-W30,4.636874675750732,0.8262660037705752
LS-00006,2026-W30,4.636874675750732,0.7990868021333495
LS-00007,2026-W30,4.636874675750732,0.8265459313919146
LS-00008,2026-W30,4.636874675750732,0.8347909750807273
LS-00009,2026-W30,4.636874675750732,0.8547575091679562
LS-00010,2026-W30,4.636874675750732,0.8480237309450397
LS-00011,2026-W30,4.636874675750732,0.8549467783792308
LS-00012,2026-W30,4.636874675750732,0.8673215540138425
LS-00013,2026-W30,4.636874675750732,0.8531286943316362
LS-00014,2026-W30,4.636874675750732,0.8594969245595419
LS-00015,2026-W30,4.636874675750732,0.8703852643985595
LS-00016,2026-W30,4.636874675750732,0.7682443964110557
LS-00017,2026-W30,4.636874675750732,0.8045136151568241
LS-00018,2026-W30,4.636874675750732,0.8239924332064164
LS-00019,2026-W30,4.636874675750732,0.7711223142868746
LS-00020,2026-W30,4.636874675750732,0.8107446996112792
LS-00021,2026-W30,4.636874675750732,0.7897062498673237
LS-00022,2026-W30,4.636874675750732,0.8501837519469291
LS-00023,2026-W30,4.636874675750732,0.8583929737775589
LS-00024,2026-W30,4.636874675750732,0.8626939039287264
LS-00025,2026-W30,4.636874675750732,0.8445797157102166
LS-00026,2026-W30,4.636874675750732,0.8576149814877061
LS-00027,2026-W30,4.636874675750732,0.8513007878529341
LS-00028,2026-W30,4.636874675750732,0.8381830652219299
LS-00029,2026-W30,4.636874675750732,0.8440763140273676
LS-00030,2026-W30,4.636874675750732,0.8278891024705383
LS-00031,2026-W30,4.636874675750732,0.8579184960349591
LS-00032,2026-W30,4.636874675750732,0.8642710441701603
LS-00033,2026-W30,4.636874675750732,0.8606794046507208
LS-00034,2026-W30,4.636874675750732,0.8426082277129449
LS-00035,2026-W30,4.636874675750732,0.8244070623064155
LS-00036,2026-W30,4.319965974890071,0.8441746595696955
LS-00037,2026-W30,4.636874675750732,0.8514476400169553
LS-00038,2026-W30,4.636874675750732,0.8499327906487865
LS-00039,2026-W30,4.636874675750732,0.8649170398363907
LS-00040,2026-W30,4.16959273168283,0.8570428916481355
LS-00041,2026-W30,4.636874675750732,0.8740120494326453
LS-00042,2026-W30,4.636874675750732,0.8556680529427614
LS-00043,2026-W30,0.0,0.8269979717316683
LS-00044,2026-W30,0.0,0.8501819015212418
LS-00045,2026-W30,0.0,0.8311511425801797
LS-00046,2026-W30,0.0,0.8488681050612937
LS-00047,2026-W30,0.0,0.8275529404932668
LS-00048,2026-W30,0.0,0.8107161271495115
LS-00049,2026-W30,4.636874675750732,0.8719323514467534
LS-00050,2026-W30,4.636874675750732,0.8682695749226637
LS-00051,2026-W30,4.636874675750732,0.8632003167483436
LS-00052,2026-W30,4.636874675750732,0.8698596341825177
LS-00053,2026-W30,4.636874675750732,0.8646208165584371
LS-00054,2026-W30,4.636874675750732,0.855118982775423
LS-00055,2026-W30,4.636874675750732,0.861070286265461
LS-00056,2026-W30,4.636874675750732,0.8286439450794449
