pixel_id,rbd_vh,burned,burned_area_hectares,rain_masked,cluster_mean_rbd_vh_burned,cluster_mean_rbd_vh_unburned
PX-001,0.745218722514263,False,0.0,False,5.6207525532984075,1.901463682474826
PX-002,1.2544845369776816,False,0.0,False,5.6207525532984075,1.901463682474826
PX-003,2.3666692535525033,False,0.0,False,5.6207525532984075,1.901463682474826
PX-004,2.8906668431183746,False,0.0,False,5.6207525532984075,1.901463682474826
PX-005,-0.8897780597196867,False,0.0,False,5.6207525532984075,1.901463682474826
PX-006,-0.5738097929566575,False,0.0,False,5.6207525532984075,1.901463682474826
PX-007,0.7660074500860716,False,0.0,False,5.6207525532984075,1.901463682474826
PX-008,2.0771178898069476,False,0.0,False,5.6207525532984075,1.901463682474826
PX-009,3.222261983175299,False,0.0,False,5.6207525532984075,1.901463682474826
PX-010,2.7246989259514045,False,0.0,False,5.6207525532984075,1.901463682474826
PX-011,3.0772126464731446,False,0.0,False,5.6207525532984075,1.901463682474826
PX-012,3.4518753445531942,False,0.0,False,5.6207525532984075,1.901463682474826
PX-013,3.858765321305034,False,0.0,False,5.6207525532984075,1.901463682474826
PX-014,1.5317766893860636,False,0.0,False,5.6207525532984075,1.901463682474826
PX-015,1.3369578904457669,False,0.0,False,5.6207525532984075,1.901463682474826
PX-016,2.7968333853573206,False,0.0,False,5.6207525532984075,1.901463682474826
PX-017,2.459442793179635,False,0.0,False,5.6207525532984075,1.901463682474826
PX-018,2.659551440034644,False,0.0,False,5.6207525532984075,1.901463682474826
PX-019,3.039565183848987,False,0.0,False,5.6207525532984075,1.901463682474826
PX-020,-1.111901054948456,False,0.0,False,5.6207525532984075,1.901463682474826
PX-021,-0.03383807598252808,False,0.0,False,5.6207525532984075,1.901463682474826
PX-022,-2.3601054032711186,False,0.0,False,5.6207525532984075,1.901463682474826
PX-023,-1.6310780396016202,False,0.0,False,5.6207525532984075,1.901463682474826
PX-024,-0.3702450649899163,False,0.0,False,5.6207525532984075,1.901463682474826
