grid_id,iso_week,score_255,risk_category,factor_breakdown
LS-00366,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00367,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00368,2026-W31,61.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00369,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00370,2026-W31,61.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00371,2026-W31,61.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00372,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00373,2026-W31,38.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00374,2026-W31,38.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00375,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00376,2026-W31,41.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00377,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00378,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00379,2026-W31,61.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00380,2026-W31,61.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00381,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00382,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00383,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00384,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00385,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00386,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
