pixel_id,lon,lat,rbd_vh,burned,burned_area_hectares,rain_masked,cluster_mean_rbd_vh_burned,cluster_mean_rbd_vh_unburned
PX-001,108.38488313251469,-7.0728853895150525,0.10980843240789184,False,0.0,False,1.607720366347629,0.25986592890734783
PX-002,108.38218818666233,-7.071987074230933,0.24531567169376878,False,0.0,False,1.607720366347629,0.25986592890734783
PX-003,108.38308650194645,-7.071987074230933,0.24135638725153896,False,0.0,False,1.607720366347629,0.25986592890734783
PX-004,108.38398481723057,-7.071987074230933,0.22212455745816584,False,0.0,False,1.607720366347629,0.25986592890734783
PX-005,108.38488313251469,-7.071987074230933,0.21102532010370645,False,0.0,False,1.607720366347629,0.25986592890734783
PX-006,108.38218818666233,-7.071088758946813,0.3627933749773522,False,0.0,False,1.607720366347629,0.25986592890734783
PX-007,108.38308650194645,-7.071088758946813,0.3585278402812957,False,0.0,False,1.607720366347629,0.25986592890734783
PX-008,108.38398481723057,-7.071088758946813,0.2838207770113499,False,0.0,False,1.607720366347629,0.25986592890734783
PX-009,108.38488313251469,-7.071088758946813,0.2580313662824718,False,0.0,False,1.607720366347629,0.25986592890734783
PX-010,108.38218818666233,-7.070190443662694,0.4744468570703546,False,0.0,False,1.607720366347629,0.25986592890734783
PX-011,108.38308650194645,-7.070190443662694,0.4746386835610963,False,0.0,False,1.607720366347629,0.25986592890734783
PX-012,108.38398481723057,-7.070190443662694,0.41691052821216523,False,0.0,False,1.607720366347629,0.25986592890734783
PX-013,108.38488313251469,-7.070190443662694,0.36601465381605003,False,0.0,False,1.607720366347629,0.25986592890734783
PX-014,108.34176399887696,-7.069292128378574,0.16268687507655244,False,0.0,False,1.607720366347629,0.25986592890734783
PX-015,108.34266231416107,-7.069292128378574,0.04668037505433276,False,0.0,False,1.607720366347629,0.25986592890734783
PX-016,108.38128987137821,-7.069292128378574,0.5241601102877311,False,0.0,False,1.607720366347629,0.25986592890734783
PX-017,108.38218818666233,-7.069292128378574,0.5271380009167466,False,0.0,False,1.607720366347629,0.25986592890734783
PX-018,108.38308650194645,-7.069292128378574,0.5217275314762606,False,0.0,False,1.607720366347629,0.25986592890734783
PX-019,108.38398481723057,-7.069292128378574,0.45554166019794806,False,0.0,False,1.607720366347629,0.25986592890734783
PX-020,108.38488313251469,-7.069292128378574,0.3847166869628289,False,0.0,False,1.607720366347629,0.25986592890734783
PX-021,108.3857814477988,-7.069292128378574,0.37259679151817515,False,0.0,False,1.607720366347629,0.25986592890734783
PX-022,108.34086568359284,-7.068393813094455,0.08570582940403959,False,0.0,False,1.607720366347629,0.25986592890734783
PX-023,108.34176399887696,-7.068393813094455,0.08927016538676469,False,0.0,False,1.607720366347629,0.25986592890734783
PX-024,108.34266231416107,-7.068393813094455,-0.02105260410806764,False,0.0,False,1.607720366347629,0.25986592890734783
PX-025,108.3435606294452,-7.068393813094455,-0.14139416583649478,False,0.0,False,1.607720366347629,0.25986592890734783
PX-026,108.3803915560941,-7.068393813094455,0.6171371273876591,False,0.0,False,1.607720366347629,0.25986592890734783
PX-027,108.38128987137821,-7.068393813094455,0.6189769098490512,False,0.0,False,1.607720366347629,0.25986592890734783
PX-028,108.38218818666233,-7.068393813094455,0.5966070741805858,False,0.0,False,1.607720366347629,0.25986592890734783
PX-029,108.38308650194645,-7.068393813094455,0.600934639715831,False,0.0,False,1.607720366347629,0.25986592890734783
PX-030,108.38398481723057,-7.068393813094455,0.5193179130505268,False,0.0,False,1.607720366347629,0.25986592890734783
PX-031,108.38488313251469,-7.068393813094455,0.4741700876932615,False,0.0,False,1.607720366347629,0.25986592890734783
PX-032,108.3857814477988,-7.068393813094455,0.4389468790247655,False,0.0,False,1.607720366347629,0.25986592890734783
