grid_id,slope_degrees,aspect_class,land_cover_class,soil_texture_class,drainage_distance_m,iso_week,cumulative_rainfall_mm,ndvi,slope_score,rainfall_score,ndvi_score,drainage_score,landuse_score,soil_score,aspect_score,masked
LS-00001,24.594226846262494,E,Tree cover,clay loam,11541.715773662077,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,3,True
LS-00002,28.319178168355126,E,Tree cover,clay loam,11344.277136631712,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,3,True
LS-00003,32.159709966899264,SW,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,4,1.0,,1,1,4.0,4,True
LS-00004,20.105235037949562,SE,Tree cover,clay loam,11720.62580711305,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00005,33.014857070367505,SE,Tree cover,clay loam,11694.395508068432,2026-W31,9.924671173095703,,4,1.0,,1,1,4.0,4,True
LS-00006,29.002488984961964,SW,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00007,15.55203351250351,S,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00008,21.205099666002884,SE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00009,32.25093053282378,N,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,4,1.0,,1,1,4.0,2,True
LS-00010,18.425269044416613,NE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00011,28.027950288858968,NE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00012,24.839733555819645,NE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00013,29.163967001574594,NE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00014,29.16606817496799,NE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00015,22.24327750708624,N,Tree cover,sandy clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00016,40.97662102169461,SW,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,4,1.0,,1,1,4.0,4,True
LS-00017,30.951991660952228,SW,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,4,1.0,,1,1,4.0,4,True
LS-00018,23.464928327089538,NE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00019,45.351819953431956,SW,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,5,1.0,,1,1,4.0,4,True
LS-00020,26.91374530806609,E,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,3,True
LS-00021,39.86441102066661,SW,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,4,1.0,,1,1,4.0,4,True
LS-00022,26.187494097647424,NE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00023,28.78111929071475,NE,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00024,24.432960576389437,E,Tree cover,clay loam,11742.190855787943,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,3,True
LS-00025,27.40719420897486,SE,Tree cover,clay loam,11445.524598344697,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00026,27.079219681876044,SE,Tree cover,clay loam,11445.524598344697,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00027,27.4237930294546,SE,Tree cover,sandy clay loam,11683.552357151373,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00028,25.670091575148412,N,Tree cover,clay loam,11403.143704424232,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00029,23.385218188073686,E,Tree cover,clay loam,11674.004084084581,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,3,True
LS-00030,22.709163431399613,NE,Tree cover,clay loam,11403.143704424232,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00031,28.50394782750905,N,Tree cover,clay loam,11403.143704424232,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00032,29.52712943822588,N,Tree cover,clay loam,11671.496117606242,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00033,28.153459068066326,SE,Tree cover,clay loam,11444.361201256681,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00034,27.146587765332562,E,Tree cover,clay loam,11444.361201256685,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,3,True
LS-00035,24.610372899249064,S,Tree cover,clay loam,11424.817928222954,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00036,26.670831705016564,NE,Tree cover,clay loam,11345.562761665804,2026-W31,9.896893843472434,,3,1.0,,1,1,4.0,2,True
LS-00037,30.188453939519874,NE,Tree cover,clay loam,11403.143704424232,2026-W31,9.924671173095703,,4,1.0,,1,1,4.0,2,True
LS-00038,26.070725567959215,N,Tree cover,clay loam,11403.143704424232,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00039,28.57166367132687,NE,Tree cover,clay loam,11403.143704424232,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00040,29.836821548467217,NE,Tree cover,clay loam,11342.365947357075,2026-W31,9.883713494899661,,3,1.0,,1,1,4.0,2,True
LS-00041,27.43009288499491,NE,Tree cover,clay loam,11403.143704424232,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,2,True
LS-00042,23.679296257186344,SE,Tree cover,clay loam,11403.143704424232,2026-W31,9.924671173095703,,3,1.0,,1,1,4.0,4,True
LS-00043,16.987790209475307,NE,Tree cover,clay loam,11091.961588240378,2026-W31,9.518244981765747,,3,1.0,,1,1,4.0,2,True
